E(Gpa),v,Cond(W/m-K),CTE(µm/m-°C),Temp(°C),ETemp(GPa)
110.0,0.375,120.0,1.99,310.0,91.56939999999999
110.0,0.375,120.0,1.99,399.0,87.35400999999999
110.0,0.375,120.0,1.99,598.0,79.19865
110.0,0.375,120.0,1.99,-4.0,110.34567999999999
110.0,0.375,120.0,1.99,-1.0,110.12951
110.0,0.375,120.0,1.99,53.0,106.38683999999999
110.0,0.375,120.0,1.99,106.0,102.95230000000001
110.0,0.375,120.0,1.99,161.0,99.61461
110.0,0.375,120.0,1.99,182.0,98.3966
110.0,0.375,120.0,1.99,231.0,95.66638999999999
110.0,0.375,120.0,1.99,294.0,92.3707
110.0,0.375,120.0,1.99,407.0,86.99406
110.0,0.375,120.0,1.99,609.0,78.79166000000001
110.0,0.38,110.0,2.02,-38.0,112.89349
110.0,0.38,110.0,2.02,18.0,108.76778
110.0,0.38,110.0,2.02,52.0,106.40619000000001
110.0,0.38,110.0,2.02,92.0,103.75592
110.0,0.38,110.0,2.02,140.0,100.74443
110.0,0.38,110.0,2.02,203.0,97.04681
110.0,0.38,110.0,2.02,263.0,93.76823
110.0,0.38,110.0,2.02,312.0,91.25043
110.0,0.38,110.0,2.02,398.0,87.14285000000001
110.0,0.38,110.0,2.02,616.0,78.21378
105.0,0.346,115.0,2.03,-18.0,106.25779
105.0,0.346,115.0,2.03,-3.0,105.24213
105.0,0.346,115.0,2.03,38.0,102.56293
105.0,0.346,115.0,2.03,80.0,99.9562
105.0,0.346,115.0,2.03,147.0,96.06052000000001
105.0,0.346,115.0,2.03,195.0,93.45099
105.0,0.346,115.0,2.03,234.0,91.43249
105.0,0.346,115.0,2.03,312.0,87.64622
105.0,0.346,115.0,2.03,400.0,83.7333
105.0,0.346,115.0,2.03,613.0,75.56453
110.0,0.38,137.0,1.89,-12.0,110.88264
110.0,0.38,137.0,1.89,-11.0,110.8137
110.0,0.38,137.0,1.89,34.0,107.79585
110.0,0.38,137.0,1.89,99.0,103.71555000000001
110.0,0.38,137.0,1.89,153.0,100.55259
110.0,0.38,137.0,1.89,207.0,97.57666
110.0,0.38,137.0,1.89,233.0,96.20542999999999
110.0,0.38,137.0,1.89,291.0,93.28134
110.0,0.38,137.0,1.89,381.0,89.07889
110.0,0.38,137.0,1.89,589.0,80.67545
110.0,0.28,123.0,1.86,-29.0,112.00449
110.0,0.28,123.0,1.86,0.0,110.01469
110.0,0.28,123.0,1.86,37.0,107.57609
110.0,0.28,123.0,1.86,95.0,103.96321
110.0,0.28,123.0,1.86,153.0,100.58537
110.0,0.28,123.0,1.86,180.0,99.08639
110.0,0.28,123.0,1.86,237.0,96.06383
110.0,0.28,123.0,1.86,316.0,92.16702000000001
110.0,0.28,123.0,1.86,393.0,88.66103
110.0,0.28,123.0,1.86,603.0,80.32531
115.0,0.307,159.0,1.8699999999999997,-32.0,117.44317
115.0,0.307,159.0,1.8699999999999997,3.0,114.80461
115.0,0.307,159.0,1.8699999999999997,53.0,111.23403
115.0,0.307,159.0,1.8699999999999997,90.0,108.73139
115.0,0.307,159.0,1.8699999999999997,167.0,103.86757
115.0,0.307,159.0,1.8699999999999997,202.0,101.79723
115.0,0.307,159.0,1.8699999999999997,243.0,99.47448
115.0,0.307,159.0,1.8699999999999997,289.0,96.99155
115.0,0.307,159.0,1.8699999999999997,413.0,90.87561
115.0,0.307,159.0,1.8699999999999997,619.0,82.25571000000001
115.0,0.307,345.0,1.77,-2.0,115.16636
115.0,0.307,345.0,1.77,1.0,114.95624000000001
115.0,0.307,345.0,1.77,60.0,110.9722
115.0,0.307,345.0,1.77,100.0,108.42469
115.0,0.307,345.0,1.77,164.0,104.58251
115.0,0.307,345.0,1.77,203.0,102.37181
115.0,0.307,345.0,1.77,260.0,99.3034
115.0,0.307,345.0,1.77,294.0,97.5591
115.0,0.307,345.0,1.77,399.0,92.53864
115.0,0.307,345.0,1.77,617.0,83.60324
